# SCAN_PARAMETERS
# scan_start: 2025-08-08T23:52:07.557284
# download_threshold: 10000, max_file_size_gb: 5.0, rate_limit_delay: 1.5, max_workers: 4
# target_extensions: .bin,.caffemodel,.coreml,.dlc,.ggjt,.ggmf,.ggml,.gguf,.h5,.keras,.llamafile,.mar,.mlmodel,.onnx,.pb,.pkl,.pt,.pt2,.pth,.ptl,.safetensors,.tflite
# output_format: error log
# END_PARAMETERS
repo_id,filename,error_type,reason,timestamp
stabilityai/stable-diffusion-xl-base-1.0,sd_xl_base_1.0.safetensors,file_too_large,File size 6.5GB exceeds limit,2025-08-08T23:55:18.999074
stabilityai/stable-diffusion-xl-base-1.0,sd_xl_base_1.0_0.9vae.safetensors,file_too_large,File size 6.5GB exceeds limit,2025-08-08T23:55:20.566130
stable-diffusion-v1-5/stable-diffusion-v1-5,v1-5-pruned.safetensors,file_too_large,File size 7.2GB exceeds limit,2025-08-08T23:55:35.907788
stabilityai/stable-diffusion-xl-base-1.0,unet/diffusion_pytorch_model.safetensors,file_too_large,File size 9.6GB exceeds limit,2025-08-08T23:55:37.884510
stabilityai/stable-diffusion-xl-base-1.0,unet/openvino_model.bin,file_too_large,File size 9.6GB exceeds limit,2025-08-08T23:55:40.983109
pyannote/embedding,pytorch_model.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:55:43.844108
pyannote/embedding,tfevents.bin,hash_extraction_failed,Could not extract hash using any method,2025-08-08T23:55:45.590930
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_i2v_high_noise_14B_fp16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:56:10.650986
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_i2v_high_noise_14B_fp8_scaled.safetensors,file_too_large,File size 13.3GB exceeds limit,2025-08-08T23:56:12.199569
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,split_files/diffusion_models/wan2.2_i2v_low_noise_14B_fp16.safetensors,file_too_large,File size 26.6GB exceeds limit,2025-08-08T23:56:13.740718
